,pattern,NamedPattern,NumUsersMatchPattern,NumUsersAtEachNode
128,-19-20-22-24-25-26-29-30-31-,"['1. Percy Start', '2A. Seek heart', '3A. Talk to John', '4. Talk to Harriet', '5. Find Heart', '5A. Channel Mary', '6B. Swim', '7. Lose Heart', '8. Emerge']",2,"[29.0, 15.0, 8.0, 9.0, 8.0, 7.0, 6.0, 5.0, 6.0]"
129,-19-20-22-24-25-26-29-30-31-33-,"['1. Percy Start', '2A. Seek heart', '3A. Talk to John', '4. Talk to Harriet', '5. Find Heart', '5A. Channel Mary', '6B. Swim', '7. Lose Heart', '8. Emerge', '9B. Defend']",2,"[29.0, 15.0, 8.0, 9.0, 8.0, 7.0, 6.0, 5.0, 6.0, 4.0]"
130,-19-20-22-24-25-26-29-30-31-33-34-,"['1. Percy Start', '2A. Seek heart', '3A. Talk to John', '4. Talk to Harriet', '5. Find Heart', '5A. Channel Mary', '6B. Swim', '7. Lose Heart', '8. Emerge', '9B. Defend', '10. Rise']",2,"[29.0, 15.0, 8.0, 9.0, 8.0, 7.0, 6.0, 5.0, 6.0, 4.0, 6.0]"
40,-0-19-20-23-24-25-26-,"['INSTRUCTIONS', '1. Percy Start', '2A. Seek heart', '3B. Talk to Byron', '4. Talk to Harriet', '5. Find Heart', '5A. Channel Mary']",2,"[109.0, 29.0, 15.0, 9.0, 9.0, 8.0, 7.0]"
30,-0-19-20-22-24-25-,"['INSTRUCTIONS', '1. Percy Start', '2A. Seek heart', '3A. Talk to John', '4. Talk to Harriet', '5. Find Heart']",2,"[109.0, 29.0, 15.0, 8.0, 9.0, 8.0]"
137,-2-3-6-8-9-10-12-,"['2. Imagine Claire', '3A. Taunt John', '4. Ambush', '4B. Connect', '5. Avoid', '6. Face Claire', '6B. Dare']",2,"[19.0, 13.0, 10.0, 4.0, 9.0, 9.0, 7.0]"
138,-2-3-6-8-9-10-12-13-,"['2. Imagine Claire', '3A. Taunt John', '4. Ambush', '4B. Connect', '5. Avoid', '6. Face Claire', '6B. Dare', '7. Seduce']",2,"[19.0, 13.0, 10.0, 4.0, 9.0, 9.0, 7.0, 7.0]"
139,-2-3-6-8-9-10-12-13-14-,"['2. Imagine Claire', '3A. Taunt John', '4. Ambush', '4B. Connect', '5. Avoid', '6. Face Claire', '6B. Dare', '7. Seduce', '8. Spin']",2,"[19.0, 13.0, 10.0, 4.0, 9.0, 9.0, 7.0, 7.0, 7.0]"
39,-0-19-20-23-24-25-,"['INSTRUCTIONS', '1. Percy Start', '2A. Seek heart', '3B. Talk to Byron', '4. Talk to Harriet', '5. Find Heart']",2,"[109.0, 29.0, 15.0, 9.0, 9.0, 8.0]"
146,-20-22-24-25-26-29-,"['2A. Seek heart', '3A. Talk to John', '4. Talk to Harriet', '5. Find Heart', '5A. Channel Mary', '6B. Swim']",2,"[15.0, 8.0, 9.0, 8.0, 7.0, 6.0]"
147,-20-22-24-25-26-29-30-,"['2A. Seek heart', '3A. Talk to John', '4. Talk to Harriet', '5. Find Heart', '5A. Channel Mary', '6B. Swim', '7. Lose Heart']",2,"[15.0, 8.0, 9.0, 8.0, 7.0, 6.0, 5.0]"
148,-20-22-24-25-26-29-30-31-,"['2A. Seek heart', '3A. Talk to John', '4. Talk to Harriet', '5. Find Heart', '5A. Channel Mary', '6B. Swim', '7. Lose Heart', '8. Emerge']",2,"[15.0, 8.0, 9.0, 8.0, 7.0, 6.0, 5.0, 6.0]"
149,-20-22-24-25-26-29-30-31-33-,"['2A. Seek heart', '3A. Talk to John', '4. Talk to Harriet', '5. Find Heart', '5A. Channel Mary', '6B. Swim', '7. Lose Heart', '8. Emerge', '9B. Defend']",2,"[15.0, 8.0, 9.0, 8.0, 7.0, 6.0, 5.0, 6.0, 4.0]"
150,-20-22-24-25-26-29-30-31-33-34-,"['2A. Seek heart', '3A. Talk to John', '4. Talk to Harriet', '5. Find Heart', '5A. Channel Mary', '6B. Swim', '7. Lose Heart', '8. Emerge', '9B. Defend', '10. Rise']",2,"[15.0, 8.0, 9.0, 8.0, 7.0, 6.0, 5.0, 6.0, 4.0, 6.0]"
38,-0-19-20-23-24-,"['INSTRUCTIONS', '1. Percy Start', '2A. Seek heart', '3B. Talk to Byron', '4. Talk to Harriet']",2,"[109.0, 29.0, 15.0, 9.0, 9.0]"
31,-0-19-20-22-24-25-26-,"['INSTRUCTIONS', '1. Percy Start', '2A. Seek heart', '3A. Talk to John', '4. Talk to Harriet', '5. Find Heart', '5A. Channel Mary']",2,"[109.0, 29.0, 15.0, 8.0, 9.0, 8.0, 7.0]"
136,-2-3-6-8-9-10-,"['2. Imagine Claire', '3A. Taunt John', '4. Ambush', '4B. Connect', '5. Avoid', '6. Face Claire']",2,"[19.0, 13.0, 10.0, 4.0, 9.0, 9.0]"
