,BaseRoot,Branch,Root,FrequencyExited,RootFreq,BranchFreq,BaseRootFreq,BaseRootLat,BaseRootLon,BranchLat,BranchLon,Distance,ProportionExited,ProportionPerBranch
84,1,3,2,2,28,19,45,50.7203374,-1.8759896,50.7202206,-1.8756434,27.62,0.07142857142857142,0.6785714285714286
85,2,6,3,2,19,17,28,50.720304,-1.8758203,50.7205774,-1.874086,125.82,0.10526315789473684,0.8947368421052632
86,56,60,58,2,6,10,17,50.7202737,-1.8757976,50.7205774,-1.874086,125.14,0.3333333333333333,1.6666666666666667
87,61,64,63,2,8,7,7,50.7205774,-1.874086,50.7204054,-1.8749399,63.08,0.25,0.875
88,56,60,59,2,6,10,17,50.7202737,-1.8757976,50.7205774,-1.874086,125.14,0.3333333333333333,1.6666666666666667
89,8,10,9,1,16,16,8,50.7205774,-1.874086,50.720543,-1.8734733,43.3,0.0625,1.0
90,8,7,9,1,16,10,8,50.7205774,-1.874086,50.7205774,-1.874086,0.0,0.0625,0.625
91,7,10,9,1,16,16,10,50.7205774,-1.874086,50.720543,-1.8734733,43.3,0.0625,1.0
92,7,8,9,1,16,8,10,50.7205774,-1.874086,50.7205774,-1.874086,0.0,0.0625,0.5
93,14,18,16,1,5,8,13,50.720533,-1.87429,50.720983,-1.874483,51.85,0.2,1.6
96,9,12,10,1,16,11,16,50.7203205,-1.8733245,50.720543,-1.8734733,26.87,0.0625,0.6875
97,9,11,10,1,16,6,16,50.7203205,-1.8733245,50.720543,-1.8734733,26.87,0.0625,0.375
98,14,17,15,1,8,9,13,50.720533,-1.87429,50.72087,-1.874803,52.04,0.125,1.125
99,13,16,14,1,13,5,14,50.720531,-1.8741479,50.7204919,-1.8745964,31.87,0.07692307692307693,0.38461538461538464
100,13,15,14,1,13,8,14,50.720531,-1.8741479,50.720405,-1.8747268,43.09,0.07692307692307693,0.6153846153846154
101,67,70,69,1,3,7,7,50.7203655,-1.8748388,50.7202627,-1.8757817,67.36,0.3333333333333333,2.3333333333333335
103,72,71,73,1,7,2,7,50.7203499,-1.8758097,50.7200626,-1.8754617,40.26,0.14285714285714285,0.2857142857142857
105,71,72,73,1,7,7,2,50.7200626,-1.8754617,50.7203499,-1.8758097,40.26,0.14285714285714285,1.0
106,24,26,25,1,14,11,15,50.720405,-1.8747268,50.720327,-1.8750706,25.71,0.07142857142857142,0.7857142857142857
107,66,69,67,1,7,3,4,50.7204054,-1.8749399,50.7203655,-1.8748388,8.39,0.14285714285714285,0.42857142857142855
108,66,68,67,1,7,6,4,50.7204054,-1.8749399,50.7203655,-1.8748388,8.39,0.14285714285714285,0.8571428571428571
109,66,65,67,1,7,5,4,50.7204054,-1.8749399,50.7204054,-1.8749399,0.0,0.14285714285714285,0.7142857142857143
110,65,69,67,1,7,3,5,50.7204054,-1.8749399,50.7203655,-1.8748388,8.39,0.14285714285714285,0.42857142857142855
111,65,68,67,1,7,6,5,50.7204054,-1.8749399,50.7203655,-1.8748388,8.39,0.14285714285714285,0.8571428571428571
112,65,66,67,1,7,4,5,50.7204054,-1.8749399,50.7204054,-1.8749399,0.0,0.14285714285714285,0.5714285714285714
113,64,67,66,1,4,7,7,50.7204054,-1.8749399,50.7203655,-1.8748388,8.39,0.25,1.75
114,64,67,65,1,5,7,7,50.7204054,-1.8749399,50.7203655,-1.8748388,8.39,0.2,1.4
115,63,66,64,1,7,4,8,50.720327,-1.8750706,50.7204054,-1.8749399,12.68,0.14285714285714285,0.5714285714285714
116,63,65,64,1,7,5,8,50.720327,-1.8750706,50.7204054,-1.8749399,12.68,0.14285714285714285,0.7142857142857143
117,60,63,61,1,7,8,10,50.7205774,-1.874086,50.720327,-1.8750706,74.7,0.14285714285714285,1.1428571428571428
118,69,72,70,1,7,7,3,50.7203655,-1.8748388,50.7203499,-1.8758097,68.37,0.14285714285714285,1.0
119,69,71,70,1,7,2,3,50.7203655,-1.8748388,50.7200626,-1.8754617,55.29,0.14285714285714285,0.2857142857142857
120,69,68,70,1,7,6,3,50.7203655,-1.8748388,50.7203655,-1.8748388,0.0,0.14285714285714285,0.8571428571428571
121,68,72,70,1,7,7,6,50.7203655,-1.8748388,50.7203499,-1.8758097,68.37,0.14285714285714285,1.0
122,68,71,70,1,7,2,6,50.7203655,-1.8748388,50.7200626,-1.8754617,55.29,0.14285714285714285,0.2857142857142857
123,68,69,70,1,7,3,6,50.7203655,-1.8748388,50.7203655,-1.8748388,0.0,0.14285714285714285,0.42857142857142855
124,51,54,53,1,8,11,11,50.720404,-1.8759634,50.7202658,-1.8756928,24.48,0.125,1.375
125,48,51,50,1,10,11,13,50.7204156,-1.8752579,50.720404,-1.8759634,49.68,0.1,1.1
126,48,51,49,1,5,11,13,50.7204156,-1.8752579,50.720404,-1.8759634,49.68,0.2,2.2
127,47,50,48,1,13,10,13,50.7204237,-1.8751131,50.7204156,-1.8752579,10.23,0.07692307692307693,0.7692307692307693
128,47,49,48,1,13,5,13,50.7204237,-1.8751131,50.7204156,-1.8752579,10.23,0.07692307692307693,0.38461538461538464
129,46,48,47,1,13,13,13,50.7204059,-1.8748728,50.7204156,-1.8752579,27.13,0.07692307692307693,1.0
130,46,45,47,1,13,5,13,50.7204059,-1.8748728,50.7204059,-1.8748728,0.0,0.07692307692307693,0.38461538461538464
131,45,48,47,1,13,13,5,50.7204059,-1.8748728,50.7204156,-1.8752579,27.13,0.07692307692307693,1.0
132,45,46,47,1,13,13,5,50.7204059,-1.8748728,50.7204059,-1.8748728,0.0,0.07692307692307693,1.0
133,41,44,42,1,16,19,22,50.720327,-1.8750706,50.7204059,-1.8748728,16.46,0.0625,1.1875
134,70,73,71,1,2,7,7,50.7202627,-1.8757817,50.7202899,-1.8755649,15.56,0.5,3.5
135,67,70,68,1,6,7,7,50.7203655,-1.8748388,50.7202627,-1.8757817,67.36,0.16666666666666666,1.1666666666666667
136,70,73,72,1,7,7,7,50.7202627,-1.8757817,50.7202899,-1.8755649,15.56,0.14285714285714285,1.0
137,30,33,31,1,10,5,9,50.7200404,-1.8754931,50.7200626,-1.8754617,3.31,0.1,0.5
138,30,32,31,1,10,5,9,50.7200404,-1.8754931,50.720204,-1.8753037,22.55,0.1,0.5
139,29,31,30,1,9,10,10,50.7203123,-1.8750007,50.7201043,-1.8753713,34.87,0.1111111111111111,1.1111111111111112
140,29,28,30,1,9,2,10,50.7203123,-1.8750007,50.7203105,-1.8748195,12.76,0.1111111111111111,0.2222222222222222
141,28,31,30,1,9,10,2,50.7203105,-1.8748195,50.7201043,-1.8753713,45.11,0.1111111111111111,1.1111111111111112
142,28,29,30,1,9,10,2,50.7203105,-1.8748195,50.7203123,-1.8750007,12.76,0.1111111111111111,1.1111111111111112
