,user,date,pageId,timeOnPage
59,5ba0e437def82a3ad52e2c1c,2018-11-21 16:09:02.386000+00:00,3339055b-87bd-4f52-acce-5f195750a823,0 days 00:00:01.666000000
60,5ba0e437def82a3ad52e2c1c,2018-11-21 16:09:04.052000+00:00,f34c7ef4-a985-4827-a90a-20a567a086e9,0 days 00:00:03.006000000
61,5ba0e437def82a3ad52e2c1c,2018-11-21 16:09:07.058000+00:00,5d537fd6-8c93-4e89-3b78-7f96aeba602a,0 days 00:00:10.072000000
62,5ba0e437def82a3ad52e2c1c,2018-11-21 16:09:17.130000+00:00,383154c5-58f4-42ac-7c84-951d5133af4e,0 days 00:09:10.112000000
64,5bc0abd6def82a3ad52e8527,2018-10-31 15:53:20.773000+00:00,893861b0-fa80-483e-ed94-e405e91ee0b6,0 days 00:02:41.438000000
65,5bc0abd6def82a3ad52e8527,2018-10-31 15:56:02.211000+00:00,f17e55aa-28d2-4596-3a3b-f4160fec8c37,0 days 00:03:50.173000000
66,5bc0abd6def82a3ad52e8527,2018-10-31 15:59:52.384000+00:00,4126c2ab-8302-46d0-90ff-1f59fd063d88,0 days 00:04:49.247000000
67,5bc0abd6def82a3ad52e8527,2018-10-31 16:04:41.631000+00:00,893861b0-fa80-483e-ed94-e405e91ee0b6,0 days 00:00:57.309000000
68,5bc0abd6def82a3ad52e8527,2018-10-31 16:05:38.940000+00:00,8bf230cc-42fa-4cd2-3eb9-d16480cd7094,0 days 00:04:06.122000000
69,5bc0abd6def82a3ad52e8527,2018-10-31 16:09:45.062000+00:00,2091fc6e-94bb-4940-65b1-4f197ffec78c,0 days 02:25:55.568000000
70,5bc0abd6def82a3ad52e8527,2018-10-31 18:35:40.630000+00:00,893861b0-fa80-483e-ed94-e405e91ee0b6,0 days 00:00:14.601000000
71,5bc0abd6def82a3ad52e8527,2018-10-31 18:35:55.231000+00:00,5a428f8b-173c-4d48-ce72-b1d137234d5d,7 days 19:09:00.240000000
72,5bc0abd6def82a3ad52e8527,2018-11-08 13:44:55.471000+00:00,893861b0-fa80-483e-ed94-e405e91ee0b6,0 days 00:01:51.240000000
73,5bc0abd6def82a3ad52e8527,2018-11-08 13:46:46.711000+00:00,f17e55aa-28d2-4596-3a3b-f4160fec8c37,0 days 00:04:03.085000000
74,5bc0abd6def82a3ad52e8527,2018-11-08 13:50:49.796000+00:00,4126c2ab-8302-46d0-90ff-1f59fd063d88,0 days 00:31:37.514000000
75,5bc0abd6def82a3ad52e8527,2018-11-08 14:22:27.310000+00:00,893861b0-fa80-483e-ed94-e405e91ee0b6,0 days 00:07:12.277000000
76,5bc0abd6def82a3ad52e8527,2018-11-08 14:29:39.587000+00:00,f17e55aa-28d2-4596-3a3b-f4160fec8c37,0 days 00:00:14.108000000
77,5bc0abd6def82a3ad52e8527,2018-11-08 14:29:53.695000+00:00,4126c2ab-8302-46d0-90ff-1f59fd063d88,0 days 00:00:52.911000000
78,5bc0abd6def82a3ad52e8527,2018-11-08 14:30:46.606000+00:00,d6d2258e-f794-4f66-0bc3-4a0ca556994f,0 days 00:01:46.961000000
79,5bc0abd6def82a3ad52e8527,2018-11-08 14:32:33.567000+00:00,3a9afeb3-3bdd-4a33-cafb-7978f2e8480f,0 days 00:04:10.840000000
80,5bc0abd6def82a3ad52e8527,2018-11-08 14:36:44.407000+00:00,893861b0-fa80-483e-ed94-e405e91ee0b6,0 days 00:01:55.053000000
81,5bc0abd6def82a3ad52e8527,2018-11-08 14:38:39.460000+00:00,8bf230cc-42fa-4cd2-3eb9-d16480cd7094,1 days 01:24:39.623000000
82,5bc0abd6def82a3ad52e8527,2018-11-09 16:03:19.083000+00:00,7c67cd54-26b2-4cad-1e91-80e342964c11,1 days 00:12:51.421000000
83,5bc0abd6def82a3ad52e8527,2018-11-10 16:16:10.504000+00:00,893861b0-fa80-483e-ed94-e405e91ee0b6,0 days 00:01:00.220000000
84,5bc0abd6def82a3ad52e8527,2018-11-10 16:17:10.724000+00:00,5a428f8b-173c-4d48-ce72-b1d137234d5d,2 days 01:53:50.482000000
85,5bc0abd6def82a3ad52e8527,2018-11-12 18:11:01.206000+00:00,893861b0-fa80-483e-ed94-e405e91ee0b6,0 days 00:03:41.829000000
86,5bc0abd6def82a3ad52e8527,2018-11-12 18:14:43.035000+00:00,f17e55aa-28d2-4596-3a3b-f4160fec8c37,0 days 00:06:17.708000000
87,5bc0abd6def82a3ad52e8527,2018-11-12 18:21:00.743000+00:00,4126c2ab-8302-46d0-90ff-1f59fd063d88,2 days 13:01:07.779000000
88,5bc0abd6def82a3ad52e8527,2018-11-15 07:22:08.522000+00:00,893861b0-fa80-483e-ed94-e405e91ee0b6,0 days 00:00:33.421000000
89,5bc0abd6def82a3ad52e8527,2018-11-15 07:22:41.943000+00:00,5a428f8b-173c-4d48-ce72-b1d137234d5d,0 days 00:00:07.651000000
90,5bc0abd6def82a3ad52e8527,2018-11-15 07:22:49.594000+00:00,1ed5a659-7032-41cf-03e9-82effaf98552,0 days 00:06:59.643000000
91,5bc0abd6def82a3ad52e8527,2018-11-15 07:29:49.237000+00:00,9a2c0781-eda8-4336-b4c2-96862f9d0e19,13 days 04:49:54.482000000
92,5bc0abd6def82a3ad52e8527,2018-11-28 12:19:43.719000+00:00,893861b0-fa80-483e-ed94-e405e91ee0b6,0 days 00:01:34.204000000
93,5bc0abd6def82a3ad52e8527,2018-11-28 12:21:17.923000+00:00,f17e55aa-28d2-4596-3a3b-f4160fec8c37,0 days 00:03:25.046000000
94,5bc0abd6def82a3ad52e8527,2018-11-28 12:24:42.969000+00:00,4126c2ab-8302-46d0-90ff-1f59fd063d88,0 days 00:02:39.747000000
95,5bc0abd6def82a3ad52e8527,2018-11-28 12:27:22.716000+00:00,a82cf302-d62e-4e76-9ae3-0fcf78103656,0 days 00:01:30.644000000
96,5bc0abd6def82a3ad52e8527,2018-11-28 12:28:53.360000+00:00,3a9afeb3-3bdd-4a33-cafb-7978f2e8480f,0 days 00:02:58.723000000
